epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.78233737,0.12960505,0.22858424,0.7294133,0.19697131,0.329071
1,0.6313629,0.24575327,0.39339322,0.5569815,0.30505905,0.46738353
2,0.5249198,0.3263308,0.49118617,0.46505895,0.37625352,0.5466044
3,0.4147122,0.4339615,0.60383356,0.6497898,0.20301084,0.33636063
4,0.32335782,0.52931017,0.69145083,0.5886968,0.25265962,0.40163237
5,0.2937098,0.5600052,0.71688354,0.30984503,0.5334389,0.69516766
6,0.26856154,0.5875779,0.7396313,0.33071557,0.5072665,0.6723549
7,0.2529064,0.6052202,0.75358427,0.23725133,0.6223964,0.76702034
8,0.24061282,0.6197263,0.76479435,0.20980911,0.660757,0.7954812
9,0.23628731,0.6249151,0.7686307,0.20353115,0.6688404,0.80127585
10,0.230738,0.6315687,0.7736337,0.23224746,0.6264084,0.7700607
11,0.22321375,0.6408631,0.7805423,0.21103126,0.6577982,0.79317075
12,0.21727899,0.64841264,0.7863153,0.19180872,0.68373984,0.8118998
13,0.21003076,0.6575854,0.7930672,0.27930564,0.56598514,0.7222197
14,0.20809126,0.66012007,0.79489964,0.21075773,0.6558144,0.79183877
15,0.20030421,0.6708661,0.8025167,0.17893866,0.7000521,0.8233722
16,0.19998923,0.6705953,0.8024385,0.20234634,0.66626155,0.7995336
17,0.19497402,0.6774799,0.8072243,0.18857554,0.68645847,0.81381506
18,0.19165991,0.68202573,0.81056744,0.1759859,0.7039278,0.82608026
19,0.18562043,0.6902623,0.8163935,0.17635557,0.70296663,0.82535386
20,0.18689537,0.6886709,0.8150593,0.18008545,0.6980625,0.8219225
21,0.18444332,0.69178313,0.8173867,0.18653777,0.68771577,0.81483984
22,0.181913,0.69526136,0.8198242,0.17279705,0.70813835,0.82892126
23,0.17379959,0.7068398,0.82787514,0.17793395,0.70048726,0.8235235
24,0.17533022,0.7046574,0.82632303,0.23408148,0.62272304,0.76698387
25,0.17216508,0.7091245,0.8293998,0.17458342,0.70496774,0.82670456
26,0.17442943,0.7058741,0.82718337,0.17177106,0.70967567,0.82984936
27,0.17220521,0.7089385,0.8294096,0.17068867,0.7112477,0.83092135
28,0.1657756,0.7186896,0.8358807,0.17137867,0.7101739,0.83017635
29,0.16402093,0.72120744,0.83761287,0.16965832,0.7126734,0.83189434
30,0.16396855,0.72118604,0.83768576,0.16675337,0.71687776,0.83478284
31,0.16601756,0.71810895,0.83563316,0.16640247,0.71740115,0.8351473
32,0.16580343,0.71847683,0.8358343,0.16651899,0.71721554,0.83501625
33,0.16176651,0.7243931,0.83985686,0.16683143,0.7168071,0.8347381
34,0.16223273,0.7237503,0.8394211,0.16567606,0.7184447,0.8358513
35,0.16331376,0.72214323,0.83835006,0.16526455,0.7190301,0.83625793
36,0.15955256,0.72765285,0.84207886,0.16520104,0.7190346,0.8362582
37,0.1606673,0.7259764,0.84093946,0.1651796,0.7191215,0.83631796
38,0.1614692,0.7248047,0.8401194,0.1649106,0.71948206,0.8365642
39,0.16184069,0.72424257,0.8398055,0.16640466,0.7173353,0.83510125
40,0.16227287,0.7237138,0.8393432,0.1660764,0.71776974,0.8353993
41,0.16262813,0.7232094,0.8389683,0.16460879,0.7198961,0.83685106
42,0.16014843,0.7266622,0.84148145,0.16569039,0.71833515,0.835784
43,0.16199242,0.7239339,0.8395972,0.16533394,0.7188724,0.836145
44,0.15960579,0.72757137,0.84200895,0.1648779,0.71951985,0.83659256
