epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.21977723,0.66726464,0.7868037,0.20589623,0.66253865,0.7943613
1,0.121699594,0.78642875,0.87847584,0.18942834,0.68494165,0.8105625
2,0.108622015,0.8070608,0.8914413,0.12350841,0.7827392,0.87648535
3,0.0984722,0.82298523,0.90156233,0.13083993,0.77117616,0.8691691
4,0.09617792,0.82699764,0.90384525,0.10632258,0.8101981,0.8936898
5,0.09139291,0.83498687,0.9086259,0.10447922,0.8131075,0.8955356
6,0.08852484,0.839304,0.91149116,0.12743063,0.7760844,0.8725803
7,0.08401878,0.8470805,0.915994,0.09806834,0.82381785,0.90194064
8,0.08663286,0.8427294,0.9133807,0.1091554,0.80522877,0.8908561
9,0.08583189,0.8442366,0.9141811,0.0969963,0.82532406,0.90301186
10,0.07992628,0.8537508,0.9200828,0.098965384,0.82214886,0.9010448
11,0.08047303,0.8528697,0.9195362,0.0972329,0.82467294,0.90277904
12,0.07846267,0.8561984,0.9215454,0.108243,0.8072532,0.8917673
13,0.0782748,0.8565473,0.92173165,0.099955074,0.8207264,0.900051
14,0.07652865,0.85976404,0.92347777,0.12576167,0.7788522,0.87424755
15,0.081449606,0.8521687,0.91855836,0.10356798,0.8145119,0.8964434
16,0.07486125,0.8624483,0.9251441,0.12341051,0.78283185,0.87659967
17,0.07475691,0.86261934,0.92524916,0.09317603,0.831695,0.9068285
18,0.07557819,0.8612495,0.92442787,0.107515305,0.80841774,0.89249367
19,0.07306848,0.8655105,0.9269358,0.09141529,0.83467156,0.9085904
20,0.07406241,0.8637013,0.9259414,0.09737081,0.8244974,0.90263605
21,0.07242902,0.86661464,0.92757726,0.10165583,0.81761056,0.8983491
22,0.07141707,0.868257,0.9285882,0.10298324,0.81514996,0.897025
23,0.071489476,0.86837447,0.92851603,0.09670647,0.8255323,0.9032969
24,0.070062615,0.8709251,0.9299415,0.097826496,0.82405186,0.9021822
25,0.06855811,0.8731411,0.93144625,0.10132211,0.81877065,0.89868253
26,0.066774204,0.8761775,0.93322986,0.09565407,0.8279588,0.90434974
27,0.06772864,0.8748566,0.9322748,0.09526019,0.8285184,0.9047438
28,0.06497924,0.8795319,0.9350258,0.09501037,0.8288662,0.9049963
29,0.065113604,0.87928444,0.9348909,0.094798855,0.8291867,0.9052069
30,0.06533592,0.8790701,0.9346688,0.0942042,0.8301786,0.9058022
