epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.7053639,0.20449121,0.31989568,0.3498798,0.5013886,0.6674247
1,0.2588223,0.6031968,0.7504894,0.21763349,0.6475488,0.7858602
2,0.17614825,0.70712745,0.82813114,0.18884805,0.686133,0.81373477
3,0.14411259,0.75343215,0.8591446,0.16582666,0.71911806,0.8363761
4,0.12583883,0.7808808,0.8767884,0.16158101,0.7247309,0.84017575
5,0.11173869,0.80296534,0.8904896,0.1419596,0.7542044,0.85961705
6,0.102834806,0.8170291,0.8991697,0.14396758,0.7506427,0.8574108
7,0.095104836,0.82949746,0.90666586,0.14481331,0.74911755,0.8563024
8,0.09098504,0.83623844,0.9106698,0.16050494,0.72517395,0.8404468
9,0.08277382,0.84987766,0.91876376,0.12960969,0.7726908,0.87143105
10,0.07992586,0.854616,0.9214819,0.12758693,0.77548176,0.8733505
11,0.07857431,0.8566754,0.92269075,0.11363331,0.79796493,0.8874861
12,0.07356714,0.8651213,0.9275774,0.1279453,0.7745296,0.8727842
13,0.07248946,0.8668177,0.92857456,0.11829828,0.78999424,0.88250303
14,0.07018366,0.87079716,0.93083173,0.114227995,0.7966603,0.8866392
15,0.06915563,0.87261146,0.93184286,0.113311395,0.7982123,0.88748246
16,0.067509525,0.87529385,0.9334259,0.10857598,0.80579954,0.89215475
17,0.0640792,0.88131297,0.93683153,0.116143085,0.7934126,0.88453674
18,0.063711986,0.88182527,0.9371053,0.10621555,0.80959284,0.8945635
19,0.061779868,0.88516974,0.93901134,0.10292263,0.81486154,0.89778817
20,0.060571417,0.887244,0.9401843,0.104971945,0.8117576,0.89576465
21,0.0595304,0.88909864,0.94123137,0.10271752,0.81530577,0.89799577
22,0.05850403,0.89082813,0.94220847,0.112310216,0.7994875,0.8882057
23,0.060135283,0.88794845,0.9405767,0.11626178,0.7932058,0.884346
24,0.05630414,0.89472294,0.94436896,0.11053035,0.80235445,0.89000475
25,0.0559146,0.89536446,0.9447457,0.09920483,0.8211138,0.90150976
26,0.054762796,0.89747286,0.9458828,0.10047685,0.8188559,0.900119
27,0.051938433,0.9025182,0.9487097,0.10102018,0.81791866,0.8995326
28,0.051175937,0.9038719,0.9494738,0.10242734,0.8157104,0.8981475
29,0.050763853,0.90462965,0.9498684,0.10192078,0.81648546,0.898635
30,0.050194725,0.90564287,0.950444,0.10149126,0.81727314,0.89908034
31,0.049035594,0.90771616,0.95159614,0.101965085,0.8163746,0.89856404
32,0.049280044,0.90730155,0.95135516,0.101357654,0.8173299,0.8991637
33,0.047240056,0.9109654,0.9533704,0.10549497,0.81055176,0.89505225
34,0.048508555,0.9087535,0.9521234,0.10147908,0.8171499,0.89902604
35,0.048070725,0.90954745,0.95257276,0.1026279,0.8152338,0.89786303
36,0.04745509,0.910557,0.9531588,0.10221412,0.8159292,0.8983228
37,0.0465863,0.91213953,0.95402473,0.10135791,0.8174147,0.8991892
38,0.04730609,0.9108244,0.95329744,0.09958928,0.8201722,0.9008927
39,0.04728549,0.9108674,0.95332885,0.10129235,0.81741196,0.89923906
40,0.046526913,0.9122743,0.95408714,0.10089158,0.81807536,0.89962006
41,0.04601342,0.9132054,0.9545998,0.10297917,0.81465745,0.897536
42,0.046817213,0.9117163,0.95377755,0.10136653,0.81728554,0.89915824
43,0.04593893,0.913333,0.9546697,0.10090186,0.81802607,0.8995794
44,0.046211902,0.912795,0.9543724,0.10502986,0.8112857,0.8954528
