epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.69340724,0.21499775,0.34016696,0.4205892,0.4995493,0.6641162
1,0.36971015,0.50407666,0.6683699,0.24488007,0.62745845,0.7694879
2,0.2743786,0.593416,0.74423134,0.20673624,0.6746738,0.80457056
3,0.23365676,0.6401498,0.7801119,0.18148012,0.7068949,0.826852
4,0.20489115,0.67566085,0.80609363,0.16768557,0.7262951,0.8401149
5,0.18233572,0.704629,0.82651055,0.14509112,0.7597213,0.86212456
6,0.16707729,0.7257605,0.8408729,0.14027734,0.7646748,0.86564237
7,0.16038229,0.7339109,0.8463333,0.13512532,0.76922345,0.86851466
8,0.14631876,0.7543495,0.85978323,0.13398625,0.77023697,0.86932623
9,0.139114,0.7641295,0.86612004,0.13155597,0.7750417,0.8723829
