epoch,train_loss,train_iou,train_dice,valid_loss,valid_iou,valid_dice
0,0.39146358,0.48543584,0.61545986,0.16885296,0.71592414,0.8339954
1,0.1419816,0.75724036,0.8610283,0.12746234,0.7780063,0.87480515
2,0.10947846,0.8066425,0.8924707,0.10971969,0.8055953,0.8920138
3,0.09636417,0.8275449,0.9051141,0.12188118,0.7850429,0.8791595
4,0.09080548,0.8365442,0.9104302,0.106464714,0.80971223,0.894494
5,0.08584577,0.84447414,0.91510916,0.10735563,0.808049,0.8935671
6,0.07803486,0.8572697,0.9227318,0.101796664,0.8170122,0.89894575
7,0.07828927,0.85666084,0.92242634,0.10054009,0.8188525,0.90013266
8,0.07711257,0.8585909,0.9235453,0.10648939,0.8091585,0.89410996
9,0.07886946,0.8558007,0.92177063,0.11206572,0.79994327,0.8884727
10,0.0740466,0.86365527,0.9264827,0.10708362,0.8079204,0.89345074
11,0.069708765,0.8710634,0.9307731,0.10580157,0.80999464,0.8946128
