Epoch,Loss,Dice,fold,Model,Class,Split
11,"0,16","0,85",5,PSPNet,aorta,test
12,"0,16","0,84",5,PSPNet,aorta,test
13,"0,15","0,85",5,PSPNet,aorta,test
14,"0,15","0,85",5,PSPNet,aorta,test
15,"0,16","0,84",5,PSPNet,aorta,test
16,"0,15","0,85",5,PSPNet,aorta,test
17,"0,17","0,83",5,PSPNet,aorta,test
18,"0,14","0,86",5,PSPNet,aorta,test
19,"0,14","0,86",5,PSPNet,aorta,test
20,"0,15","0,85",5,PSPNet,aorta,test
21,"0,16","0,84",5,PSPNet,aorta,test
22,"0,14","0,86",5,PSPNet,aorta,test
23,"0,14","0,86",5,PSPNet,aorta,test
24,"0,15","0,85",5,PSPNet,aorta,test
25,"0,14","0,86",5,PSPNet,aorta,test
26,"0,14","0,86",5,PSPNet,aorta,test
27,"0,13","0,87",5,PSPNet,aorta,test
28,"0,14","0,87",5,PSPNet,aorta,test
29,"0,14","0,86",5,PSPNet,aorta,test
0,"0,22","0,78",2,MA-Net,aorta,test
1,"0,14","0,87",2,MA-Net,aorta,test
2,"0,14","0,86",2,MA-Net,aorta,test
3,"0,27","0,73",2,MA-Net,aorta,test
4,"0,21","0,79",2,MA-Net,aorta,test
5,"0,17","0,83",2,MA-Net,aorta,test
6,"0,15","0,85",2,MA-Net,aorta,test
7,"0,19","0,81",2,MA-Net,aorta,test
8,"0,21","0,79",2,MA-Net,aorta,test
9,"0,18","0,82",2,MA-Net,aorta,test
10,"0,15","0,85",2,MA-Net,aorta,test
11,"0,18","0,82",2,MA-Net,aorta,test
12,"0,13","0,87",2,MA-Net,aorta,test
13,"0,13","0,87",2,MA-Net,aorta,test
14,"0,17","0,83",2,MA-Net,aorta,test
15,"0,19","0,81",2,MA-Net,aorta,test
16,"0,12","0,88",2,MA-Net,aorta,test
17,"0,16","0,84",2,MA-Net,aorta,test
18,"0,23","0,77",2,MA-Net,aorta,test
19,"0,18","0,82",2,MA-Net,aorta,test
20,"0,18","0,82",2,MA-Net,aorta,test
21,"0,20","0,80",2,MA-Net,aorta,test
22,"0,20","0,80",2,MA-Net,aorta,test
23,"0,18","0,82",2,MA-Net,aorta,test
24,"0,17","0,83",2,MA-Net,aorta,test
25,"0,17","0,83",2,MA-Net,aorta,test
26,"0,17","0,83",2,MA-Net,aorta,test
27,"0,17","0,83",2,MA-Net,aorta,test
28,"0,16","0,84",2,MA-Net,aorta,test
29,"0,17","0,83",3,MA-Net,aorta,test
0,"0,26","0,75",3,MA-Net,aorta,test
1,"0,16","0,84",3,MA-Net,aorta,test
2,"0,13","0,87",3,MA-Net,aorta,test
3,"0,11","0,89",3,MA-Net,aorta,test
4,"0,13","0,87",3,MA-Net,aorta,test
5,"0,11","0,89",3,MA-Net,aorta,test
6,"0,69","0,31",3,MA-Net,aorta,test
7,"0,19","0,81",3,MA-Net,aorta,test
8,"0,19","0,81",3,MA-Net,aorta,test
9,"0,16","0,84",3,MA-Net,aorta,test
10,"0,13","0,87",3,MA-Net,aorta,test
11,"0,15","0,85",3,MA-Net,aorta,test
12,"0,14","0,86",3,MA-Net,aorta,test
13,"0,14","0,86",3,MA-Net,aorta,test
14,"0,14","0,86",3,MA-Net,aorta,test
15,"0,12","0,88",3,MA-Net,aorta,test
16,"0,12","0,88",3,MA-Net,aorta,test
17,"0,11","0,89",3,MA-Net,aorta,test
18,"0,12","0,88",3,MA-Net,aorta,test
19,"0,12","0,88",3,MA-Net,aorta,test
20,"0,13","0,87",3,MA-Net,aorta,test
21,"0,13","0,87",3,MA-Net,aorta,test
22,"0,12","0,88",3,MA-Net,aorta,test
23,"0,12","0,88",3,MA-Net,aorta,test
24,"0,13","0,87",3,MA-Net,aorta,test
25,"0,12","0,88",3,MA-Net,aorta,test
26,"0,12","0,88",3,MA-Net,aorta,test
27,"0,12","0,88",3,MA-Net,aorta,test
28,"0,12","0,88",3,MA-Net,aorta,test
29,"0,11","0,89",1,MA-Net,aorta,test
0,"0,57","0,43",1,MA-Net,aorta,test
1,"0,14","0,86",1,MA-Net,aorta,test
2,"0,12","0,88",1,MA-Net,aorta,test
3,"0,18","0,82",1,MA-Net,aorta,test
4,"0,11","0,89",1,MA-Net,aorta,test
5,"0,11","0,89",1,MA-Net,aorta,test
6,"0,13","0,87",1,MA-Net,aorta,test
7,"0,11","0,89",1,MA-Net,aorta,test
8,"0,12","0,88",1,MA-Net,aorta,test
9,"0,11","0,89",1,MA-Net,aorta,test
10,"0,10","0,90",1,MA-Net,aorta,test
11,"0,15","0,85",1,MA-Net,aorta,test
12,"0,10","0,90",1,MA-Net,aorta,test
13,"0,11","0,89",1,MA-Net,aorta,test
14,"0,10","0,90",1,MA-Net,aorta,test
15,"0,10","0,90",1,MA-Net,aorta,test
16,"0,10","0,90",1,MA-Net,aorta,test
17,"0,10","0,90",1,MA-Net,aorta,test
18,"0,11","0,89",1,MA-Net,aorta,test
19,"0,10","0,90",1,MA-Net,aorta,test
20,"0,10","0,90",1,MA-Net,aorta,test
21,"0,12","0,88",1,MA-Net,aorta,test
22,"0,10","0,90",1,MA-Net,aorta,test
23,"0,10","0,90",1,MA-Net,aorta,test
24,"0,10","0,90",1,MA-Net,aorta,test
25,"0,12","0,88",1,MA-Net,aorta,test
26,"0,10","0,90",1,MA-Net,aorta,test
27,"0,10","0,90",1,MA-Net,aorta,test
28,"0,10","0,90",1,MA-Net,aorta,test
29,"0,10","0,90",4,MA-Net,aorta,test
0,"0,15","0,86",4,MA-Net,aorta,test
1,"0,12","0,88",4,MA-Net,aorta,test
2,"0,12","0,88",4,MA-Net,aorta,test
3,"0,13","0,87",4,MA-Net,aorta,test
4,"0,12","0,88",4,MA-Net,aorta,test
5,"0,12","0,88",4,MA-Net,aorta,test
6,"0,15","0,85",4,MA-Net,aorta,test
7,"0,13","0,87",4,MA-Net,aorta,test
8,"0,16","0,84",4,MA-Net,aorta,test
9,"0,12","0,88",4,MA-Net,aorta,test
10,"0,11","0,89",4,MA-Net,aorta,test
11,"0,13","0,87",4,MA-Net,aorta,test
12,"0,12","0,88",4,MA-Net,aorta,test
13,"0,14","0,86",4,MA-Net,aorta,test
14,"0,12","0,88",4,MA-Net,aorta,test
15,"0,13","0,87",4,MA-Net,aorta,test
16,"0,11","0,89",4,MA-Net,aorta,test
17,"0,11","0,89",4,MA-Net,aorta,test
18,"0,12","0,88",4,MA-Net,aorta,test
19,"0,12","0,88",4,MA-Net,aorta,test
20,"0,16","0,84",4,MA-Net,aorta,test
21,"0,11","0,89",4,MA-Net,aorta,test
22,"0,11","0,89",4,MA-Net,aorta,test
23,"0,11","0,89",4,MA-Net,aorta,test
24,"0,13","0,87",4,MA-Net,aorta,test
25,"0,14","0,86",4,MA-Net,aorta,test
26,"0,11","0,89",4,MA-Net,aorta,test
27,"0,11","0,89",4,MA-Net,aorta,test
28,"0,11","0,89",4,MA-Net,aorta,test
29,"0,11","0,89",5,MA-Net,aorta,test
0,"0,16","0,84",5,MA-Net,aorta,test
1,"0,17","0,83",5,MA-Net,aorta,test
2,"0,17","0,83",5,MA-Net,aorta,test
3,"0,19","0,81",5,MA-Net,aorta,test
4,"0,18","0,82",5,MA-Net,aorta,test
5,"0,16","0,84",5,MA-Net,aorta,test
6,"0,15","0,85",5,MA-Net,aorta,test
7,"0,14","0,86",5,MA-Net,aorta,test
8,"0,17","0,83",5,MA-Net,aorta,test
9,"0,15","0,85",5,MA-Net,aorta,test
10,"0,18","0,82",5,MA-Net,aorta,test
11,"0,14","0,86",5,MA-Net,aorta,test
12,"0,14","0,86",5,MA-Net,aorta,test
13,"0,16","0,84",5,MA-Net,aorta,test
14,"0,14","0,86",5,MA-Net,aorta,test
15,"0,14","0,86",5,MA-Net,aorta,test
16,"0,15","0,85",5,MA-Net,aorta,test
17,"0,15","0,85",5,MA-Net,aorta,test
18,"0,14","0,86",5,MA-Net,aorta,test
19,"0,13","0,87",5,MA-Net,aorta,test
20,"0,14","0,86",5,MA-Net,aorta,test
21,"0,14","0,86",5,MA-Net,aorta,test
22,"0,19","0,81",5,MA-Net,aorta,test
23,"0,16","0,84",5,MA-Net,aorta,test
24,"0,17","0,83",5,MA-Net,aorta,test
25,"0,14","0,86",5,MA-Net,aorta,test
26,"0,14","0,86",5,MA-Net,aorta,test
27,"0,14","0,86",5,MA-Net,aorta,test
28,"0,14","0,86",5,MA-Net,aorta,test
29,"0,14","0,86",5,MA-Net,aorta,test
