"Step","Grouped runs - valid_loss","Grouped runs - valid_loss__MIN","Grouped runs - valid_loss__MAX","Grouped runs - valid_dice","Grouped runs - valid_dice__MIN","Grouped runs - valid_dice__MAX"
"0","0.22109453082084657","0.1655622273683548","0.30130255222320557","0.8301186442375184","0.794600784778595","0.8495091795921326"
"1","0.17347531914710998","0.11046464741230011","0.3163890540599823","0.831994378566742","0.6845147013664246","0.9000850915908813"
"2","0.13495813310146332","0.10097315907478333","0.1616809368133545","0.8671421885490418","0.8389089703559875","0.9027245044708252"
"3","0.1439420312643051","0.12763389945030212","0.161689892411232","0.8568723678588868","0.8398712873458862","0.8726624846458435"
"4","0.1390279158949852","0.09985645115375519","0.16678734123706818","0.861428701877594","0.8342759609222412","0.9008210897445679"
"5","0.13008431047201158","0.09283880889415741","0.16911591589450836","0.8702067613601685","0.8315251469612122","0.9077006578445435"
"6","0.12331447154283523","0.10250938683748245","0.1460147500038147","0.8769131183624268","0.8545182943344116","0.8978946805000305"
"7","0.12956889420747758","0.09351060539484024","0.16724857687950134","0.8705713272094726","0.833099901676178","0.9066991209983826"
"8","0.12182158976793289","0.0915665253996849","0.1545431911945343","0.8782874584197998","0.8454977869987488","0.9086295962333679"
"9","0.12072622179985046","0.09848406165838242","0.13715042173862457","0.8793571949005127","0.8630402088165283","0.9016605615615845"
"10","0.12344038337469102","0.10003950446844101","0.14129219949245453","0.876621413230896","0.8587217926979065","0.9000791907310486"
"11","0.11796062588691711","0.10257773101329803","0.13069269061088562","0.8820971012115478","0.8694425821304321","0.8974388241767883"
"12","0.12561116516590118","0.0927523672580719","0.16542348265647888","0.8744321823120117","0.834669291973114","0.9073491096496582"
"13","0.12231188863515854","0.09320107847452164","0.14537373185157776","0.877725076675415","0.8546388149261475","0.9068629741668701"
"14","0.12243726700544358","0.08683013170957565","0.14889852702617645","0.8775914788246155","0.851140558719635","0.9132271409034729"
"15","0.12106864750385285","0.1043880507349968","0.14044222235679626","0.8789600968360901","0.8595626354217529","0.8956704139709473"
"16","0.12249554246664048","0.10147950798273087","0.1446905881166458","0.8775280356407166","0.8553526401519775","0.8985650539398193"
"17","0.11451865285634995","0.09226450324058533","0.12387154251337051","0.8855030179023743","0.876126766204834","0.9077773094177246"
"18","0.11331572085618973","0.09135877341032028","0.12446891516447067","0.8867111802101135","0.8755419254302979","0.9086788892745972"
"19","0.1302772656083107","0.10504373908042908","0.18372061848640442","0.8697438597679138","0.8162739872932434","0.894994854927063"
"20","0.11496979743242264","0.10380122065544128","0.1331193447113037","0.885044538974762","0.8668851852416992","0.8962249755859375"
"21","0.11467172354459762","0.09916958212852478","0.12300480902194977","0.8853429913520813","0.8769987225532532","0.9008527994155884"
"22","0.11299317926168442","0.09498416632413864","0.1294168382883072","0.8870346426963807","0.8705971240997314","0.9050443172454834"
"23","0.12020277976989746","0.10093045234680176","0.13222454488277435","0.8798102617263794","0.8677951693534851","0.8990921378135681"
"24","0.11130917966365814","0.09365957975387573","0.13180018961429596","0.8887011885643006","0.8681998252868652","0.9063608646392822"
"25","0.11708860546350479","0.09323756396770477","0.1323673129081726","0.882925271987915","0.8676271438598633","0.9067774415016174"
"26","0.10990968197584153","0.09275513142347336","0.12462947517633438","0.8901023387908935","0.8753703236579895","0.9072677493095398"
"27","0.1092229276895523","0.09206222742795944","0.12171600759029388","0.8907867550849915","0.8782835006713867","0.9079504609107971"
"28","0.10847790390253068","0.09267210215330124","0.11961506307125092","0.8915351390838623","0.8803906440734863","0.9073419570922852"
"29","0.10786053985357284","0.09238187968730927","0.11769027262926102","0.8921517968177796","0.8823153376579285","0.9076312780380249"
