"Step","Grouped runs - valid_loss","Grouped runs - valid_loss__MIN","Grouped runs - valid_loss__MAX","Grouped runs - valid_dice","Grouped runs - valid_dice__MIN","Grouped runs - valid_dice__MAX"
"0","0.29105335772037505","0.2032240778207779","0.444269061088562","0.8418209791183472","0.8219630122184753","0.8583372831344604"
"1","0.190553218126297","0.14756032824516296","0.2246471643447876","0.8503818035125732","0.7921958565711975","0.877429187297821"
"2","0.15526847839355468","0.13395319879055023","0.19010962545871735","0.8631533861160279","0.8226625919342041","0.8829249143600464"
"3","0.14490823447704315","0.1231265738606453","0.20962956547737122","0.865188467502594","0.7970963716506958","0.8970333337783813"
"4","0.12778904736042024","0.10525179654359818","0.1498548835515976","0.8786648035049438","0.855424165725708","0.9078369140625"
"5","0.12557782530784606","0.11097174882888794","0.15070316195487976","0.8787355303764344","0.8529584407806396","0.8975709676742554"
"6","0.12082782983779908","0.10624970495700836","0.14501821994781494","0.8822762608528137","0.8574813604354858","0.8977107405662537"
"7","0.1212845042347908","0.09835685789585114","0.14444614946842194","0.8809944868087769","0.856532633304596","0.9059939384460449"
"8","0.12372749745845794","0.10118749737739563","0.16365745663642883","0.8779266953468323","0.8370544910430908","0.9017461538314819"
"9","0.12109672725200653","0.09281548857688904","0.13206027448177338","0.8801932573318482","0.8684920072555542","0.9097540974617004"
"10","0.1189026489853859","0.10132991522550583","0.139559805393219","0.8821487188339233","0.8609177470207214","0.9005129337310791"
"11","0.11533312052488327","0.09041550010442734","0.1310090720653534","0.8855016589164734","0.8693776726722717","0.9111955165863037"
"12","0.11871821135282516","0.09752146899700165","0.13530611991882324","0.8819905877113342","0.8653762936592102","0.9038631319999695"
"13","0.12486601620912552","0.11394727230072021","0.14673739671707153","0.875694727897644","0.8539698123931885","0.8871191740036011"
"14","0.12238686829805374","0.09634004533290863","0.1470235288143158","0.8781013011932373","0.8531917929649353","0.9046961069107056"
"15","0.11880661398172379","0.09192988276481628","0.15094438195228577","0.8815794706344604","0.8495508432388306","0.908698558807373"
"16","0.11851678937673568","0.10084202885627747","0.13989123702049255","0.881799578666687","0.860260546207428","0.8997195959091187"
"17","0.11783740371465683","0.09467058628797531","0.13753992319107056","0.8824179410934448","0.8627241849899292","0.9057618379592896"
"18","0.11321308761835099","0.09907752275466919","0.1290891170501709","0.8870177507400513","0.8710362911224365","0.9013034105300903"
"19","0.12196321338415146","0.09493754059076309","0.1395445019006729","0.8782334208488465","0.8605415225028992","0.9053646922111511"
"20","0.11467714309692383","0.10163627564907074","0.1282021552324295","0.8854897141456604","0.8719052672386169","0.8986028432846069"
"21","0.11582119464874267","0.09321632236242294","0.1273806244134903","0.8843234419822693","0.8727025985717773","0.9070266485214233"
"22","0.11805753409862518","0.09741470217704773","0.13945122063159943","0.882067883014679","0.8606358170509338","0.9027761816978455"
"23","0.11808663308620453","0.0966990739107132","0.14002031087875366","0.8820180773735047","0.8600397706031799","0.9034624695777893"
"24","0.11622140109539032","0.10340563952922821","0.13601502776145935","0.8838648557662964","0.8640235662460327","0.8967416882514954"
"25","0.10850939750671387","0.08954255282878876","0.12265053391456604","0.8915753960609436","0.8773999214172363","0.9105921983718872"
"26","0.10589495301246643","0.08911678194999695","0.11875748634338379","0.8941799402236938","0.8812817931175232","0.911000669002533"
"27","0.10555707514286042","0.09126470983028412","0.11783339083194733","0.8945167899131775","0.882204532623291","0.9088525772094727"
"28","0.10500799417495728","0.09261778742074966","0.11446818709373474","0.8950645685195923","0.8855766654014587","0.9074916243553162"
"29","0.10382692068815232","0.08909934014081955","0.11417081207036972","0.8962498545646668","0.8858746290206909","0.9110229015350342"
