"Step","Grouped runs - valid_loss","Grouped runs - valid_loss__MIN","Grouped runs - valid_loss__MAX","Grouped runs - valid_dice","Grouped runs - valid_dice__MIN","Grouped runs - valid_dice__MAX"
"0","0.1618464022874832","0.1287718415260315","0.19245454668998718","0.8403330564498901","0.8097843527793884","0.8738685846328735"
"1","0.12795271426439286","0.10213369876146317","0.13859163224697113","0.8732883214950562","0.8625278472900391","0.8992154598236084"
"2","0.1214474931359291","0.09998153895139694","0.13153347373008728","0.8794057607650757","0.8695482611656189","0.9007962942123413"
"3","0.11420242637395858","0.09404575824737549","0.12554194033145905","0.8864943861961365","0.8752380609512329","0.9067032337188721"
"4","0.11304155588150025","0.09393133968114853","0.12806624174118042","0.887556254863739","0.8726131916046143","0.9066286087036133"
"5","0.11431578993797302","0.09646498411893845","0.1312815248966217","0.8862070202827453","0.8694349527359009","0.9040011763572693"
"6","0.11673405468463897","0.10536598414182663","0.13879738748073578","0.8837811946868896","0.8619370460510254","0.895104169845581"
"7","0.10730533599853516","0.0980844795703888","0.12165247648954391","0.8932223320007324","0.8787319660186768","0.902379035949707"
"8","0.11495618522167206","0.10609162598848343","0.12221100181341171","0.8855080008506775","0.8781331181526184","0.8944026231765747"
"9","0.11412356644868851","0.10365881025791168","0.12214191257953644","0.8862916827201843","0.8783212900161743","0.8966779708862305"
"10","0.11464579403400421","0.09626670181751251","0.13504661619663239","0.8857458829879761","0.8653541207313538","0.9041811227798462"
"11","0.12047471851110458","0.09950753301382065","0.15210546553134918","0.8799221038818359","0.8483583927154541","0.9008122086524963"
"12","0.11787427961826324","0.10186203569173813","0.14199605584144592","0.882507836818695","0.8584354519844055","0.8984877467155457"
"13","0.13538724780082703","0.0908353254199028","0.2519317865371704","0.8653759121894836","0.7503129839897156","0.9095799922943115"
"14","0.11043093949556351","0.0885775163769722","0.1319044679403305","0.8900085806846618","0.8688177466392517","0.9118519425392151"
"15","0.13181136697530746","0.09340742975473404","0.20400162041187286","0.8687067985534668","0.796933114528656","0.9069688320159912"
"16","0.11143306493759156","0.09706027805805206","0.11958649754524231","0.8889103531837463","0.880695104598999","0.9032580852508545"
"17","0.11565690785646439","0.1038343533873558","0.13783665001392365","0.8846606016159058","0.8624136447906494","0.8964735865592957"
"18","0.11053814738988876","0.09455759078264236","0.12828509509563446","0.8898831248283386","0.8721579909324646","0.9058939814567566"
"19","0.11276118904352188","0.09824466705322266","0.12625230848789215","0.8875591039657593","0.8741160035133362","0.9020699262619019"
"20","0.11445059031248092","0.09196154773235321","0.13085110485553741","0.8859169960021973","0.8695335388183594","0.9083749651908875"
"21","0.11251092851161956","0.10396130383014679","0.11768181622028351","0.887841796875","0.8826280832290649","0.8963319063186646"
"22","0.10949954688549042","0.09115932881832123","0.12116362154483795","0.8908238649368286","0.879273533821106","0.9091214537620544"
"23","0.12151041775941848","0.1047552227973938","0.1410495489835739","0.8788248181343079","0.8591905236244202","0.8955195546150208"
"24","0.11353314071893691","0.08908338099718094","0.1342756748199463","0.8867862224578857","0.8660668730735779","0.9112130403518677"
"25","0.1102391615509987","0.08671458065509796","0.12182486057281494","0.8900623798370362","0.8784082531929016","0.9135782718658447"
"26","0.10397616773843765","0.0850684642791748","0.11415381729602814","0.8963009476661682","0.886096179485321","0.9152278304100037"
"27","0.10310991555452347","0.0849703773856163","0.11302363127470016","0.8971614837646484","0.8872187733650208","0.915317714214325"
"28","0.10251278579235076","0.08518210053443909","0.11161743104457855","0.8977585315704346","0.8886443972587585","0.9150965809822083"
"29","0.10220279395580292","0.08573368191719055","0.11047220975160599","0.898060393333435","0.8897655606269836","0.9145539402961731"
